raiste	raer	VIX2	aiste	2	0	raiste
afie	afiar	VSP1	afie	2	1	afie
afies	afiar	VSP2	afies	2	1	afies
afien	afiar	VSP6	afien	2	1	afien
afraile	afrailar	VSP1	aile	3	1	afraile
afrailes	afrailar	VSP2	ailes	3	1	afrailes
afrailen	afrailar	VSP6	ailen	3	1	afrailen
agracie	agraciar	VSP1	acie	3	1	agracie
agracies	agraciar	VSP2	acies	3	1	agracies
agracien	agraciar	VSP6	acien	3	1	agracien
agravie	agraviar	VSP1	abie	3	1	agravie
agravies	agraviar	VSP2	abies	3	1	agravies
agravien	agraviar	VSP6	abien	3	1	agravien
aguaite	aguaitar	VSP1	aite	3	1	aguaite
aguaites	aguaitar	VSP2	aites	3	1	aguaites
aguaiten	aguaitar	VSP6	aiten	3	1	aguaiten
alacie	alaciar	VSP1	acie	3	1	alacie
alacies	alaciar	VSP2	acies	3	1	alacies
alacien	alaciar	VSP6	acien	3	1	alacien
algalie	algaliar	VSP1	alie	3	1	algalie
algalies	algaliar	VSP2	alies	3	1	algalies
algalien	algaliar	VSP6	alien	3	1	algalien
amaine	amainar	VSP1	aine	3	1	amaine
amaines	amainar	VSP2	aines	3	1	amaines
amainen	amainar	VSP6	ainen	3	1	amainen
arrancie	arranciar	VSP1	ancie	3	1	arrancie
arrancies	arranciar	VSP2	ancies	3	1	arrancies
arrancien	arranciar	VSP6	ancien	3	1	arrancien
asalarie	asalariar	VSP1	arie	4	1	asalarie
asalaries	asalariar	VSP2	aries	4	1	asalaries
asalarien	asalariar	VSP6	arien	4	1	asalarien
asocaire	asocairar	VSP1	aire	4	1	asocaire
asocaires	asocairar	VSP2	aires	4	1	asocaires
asocairen	asocairar	VSP6	airen	4	1	asocairen
ataire	atairar	VSP1	aire	3	1	ataire
ataires	atairar	VSP2	aires	3	1	ataires
atairen	atairar	VSP6	airen	3	1	atairen
avalie	avaliar	VSP1	alie	3	1	avalie
avalies	avaliar	VSP2	alies	3	1	avalies
avalien	avaliar	VSP6	alien	3	1	avalien
baile	bailar	VSP1	aile	2	0	baile
bailes	bailar	VSP2	ailes	2	0	bailes
bailen	bailar	VSP6	ailen	2	0	bailen
calabrie	calabriar	VSP1	abrie	3	0	calabrie
calabries	calabriar	VSP2	abries	3	0	calabries
calabrien	calabriar	VSP6	abrien	3	0	calabrien
cambie	cambiar	VSP1	ambie	2	0	cambie
cambies	cambiar	VSP2	ambies	2	0	cambies
cambien	cambiar	VSP6	ambien	2	0	cambien
camie	camiar	VSP1	amie	2	0	camie
camies	camiar	VSP2	amies	2	0	camies
camien	camiar	VSP6	amien	2	0	camien
canmie	canmiar	VSP1	anmie	2	0	canmie
canmies	canmiar	VSP2	anmies	2	0	canmies
canmien	canmiar	VSP6	anmien	2	0	canmien
circunstancie	circunstanciar	VSP1	ancie	4	0	circunstancie
circunstancies	circunstanciar	VSP2	ancies	4	0	circunstancies
circunstancien	circunstanciar	VSP6	ancien	4	0	circunstancien
congracie	congraciar	VSP1	acie	3	0	congracie
congracies	congraciar	VSP2	acies	3	0	congracies
congracien	congraciar	VSP6	acien	3	0	congracien
consubstancie	consubstanciar	VSP1	ancie	4	0	consubstancie
