fíat	fíat	O	iat	2	0	fiat
antidepresiva	antidepresivo	F	iba	6	1	antidepresiva
oliva	oliva	O	iba	3	1	oliva
operativa	operativo	F	iba	5	1	operativa
opilativa	opilativo	F	iba	5	1	opilativa
opresiva	opresivo	F	iba	4	1	opresiva
optativa	optativo	F	iba	4	1	optativa
antihipertensiva	antihipertensivo	F	iba	6	1	antihipertensiva
ordinativa	ordinativo	F	iba	5	1	ordinativa
organizativa	organizativo	F	iba	6	1	organizativa
ortiva	ortivo	F	iba	3	1	ortiva
ostensiva	ostensivo	F	iba	4	1	ostensiva
ostentativa	ostentativo	F	iba	5	1	ostentativa
paliativa	paliativo	F	iba	4	0	paliativa
partitiva	partitivo	F	iba	4	0	partitiva
pasiva	pasiva	O	iba	3	0	pasiva
pasiva	pasivo	F	iba	3	0	pasiva
anulativa	anulativo	F	iba	5	1	anulativa
penetrativa	penetrativo	F	iba	5	0	penetrativa
pensativa	pensativo	F	iba	4	0	pensativa
perceptiva	perceptivo	F	iba	4	0	perceptiva
perfectiva	perfectivo	F	iba	4	0	perfectiva
permisiva	permisivo	F	iba	4	0	permisiva
apelativa	apelativo	F	iba	5	1	apelativa
perspectiva	perspectiva	O	iba	5	0	perspectiva
persuasiva	persuasivo	F	iba	4	0	persuasiva
aperitiva	aperitivo	F	iba	5	1	aperitiva
peyorativa	peyorativo	F	iba	5	0	peyorativa
apetitiva	apetitivo	F	iba	5	1	apetitiva
aplicativa	aplicativo	F	iba	5	1	aplicativa
placativa	placativo	F	iba	4	0	placativa
plausiva	plausivo	F	iba	3	0	plausiva
apositiva	apositivo	F	iba	5	1	apositiva
policiva	policivo	F	iba	4	0	policiva
polideportiva	polideportivo	F	iba	6	0	polideportiva
apreciativa	apreciativo	F	iba	5	1	apreciativa
aprehensiva	aprehensivo	F	iba	5	1	aprehensiva
ponderativa	ponderativo	F	iba	5	0	ponderativa
aprensiva	aprensivo	F	iba	4	1	aprensiva
posesiva	posesivo	F	iba	4	0	posesiva
positiva	positivo	F	iba	4	0	positiva
pospositiva	pospositivo	F	iba	5	0	pospositiva
aprobativa	aprobativo	F	iba	5	1	aprobativa
potestativa	potestativo	F	iba	5	0	potestativa
aproximativa	aproximativo	F	iba	6	1	aproximativa
preceptiva	preceptiva	O	iba	4	0	preceptiva
preceptiva	preceptivo	F	iba	4	0	preceptiva
apurativa	apurativo	F	iba	5	1	apurativa
preclusiva	preclusivo	F	iba	4	0	preclusiva
predicativa	predicativo	F	iba	5	0	predicativa
preparativa	preparativo	F	iba	5	0	preparativa
prepositiva	prepositivo	F	iba	5	0	prepositiva
prerrogativa	prerrogativa	O	iba	5	0	prerrogativa
aquiva	aquivo	F	iba	3	1	aquiva
preservativa	preservativo	F	iba	5	0	preservativa
presuntiva	presuntivo	F	iba	4	0	presuntiva
preventiva	preventivo	F	iba	4	0	preventiva
previsiva	previsivo	F	iba	4	0	previsiva
primitiva	primitiva	O	iba	4	0	primitiva
primitiva	primitivo	F	iba	4	0	primitiva
privativa	privativo	F	iba	4	0	privativa
privilegiativa	privilegiativo	F	iba	6	0	privilegiativa
probativa	probativo	F	iba	4	0	probativa
productiva	productivo	F	iba	4	0	productiva
progresiva	progresivo	F	iba	4	0	progresiva
prohibitiva	prohibitivo	F	iba	4	0	prohibitiva
propagativa	propagativo	F	iba	5	0	propagativa
prorrogativa	prorrogativo	F	iba	5	0	prorrogativa
prospectiva	prospectivo	F	iba	4	0	prospectiva
protestativa	protestativo	F	iba	5	0	protestativa
arbitrativa	arbitrativo	F	iba	5	1	arbitrativa
provocativa	provocativo	F	iba	5	0	provocativa
proyectiva	proyectivo	F	iba	4	0	proyectiva
pulsativa	pulsativo	F	iba	4	0	pulsativa
pungitiva	pungitivo	F	iba	4	0	pungitiva
punitiva	punitivo	F	iba	4	0	punitiva
arbustiva	arbustivo	F	iba	4	1	arbustiva
purgativa	purgativo	F	iba	4	0	purgativa
putativa	putativo	F	iba	4	0	putativa
putrefactiva	putrefactivo	F	iba	5	0	putrefactiva
radiactiva	radiactivo	F	iba	4	0	radiactiva
