raimos	raer	VIX4	aimos	2	0	raimos
afio	afiar	VIP1	afio	2	1	afio
afrailo	afrailar	VIP1	ailo	3	1	afrailo
agracio	agraciar	VIP1	acio	3	1	agracio
agravio	agraviar	VIP1	abio	3	1	agravio
aguaito	aguaitar	VIP1	aito	3	1	aguaito
alacio	alaciar	VIP1	acio	3	1	alacio
algalio	algaliar	VIP1	alio	3	1	algalio
amaino	amainar	VIP1	aino	3	1	amaino
arraigo	arraigar	VIP1	aigo	3	1	arraigo
arrancio	arranciar	VIP1	ancio	3	1	arrancio
asalario	asalariar	VIP1	ario	4	1	asalario
asocairo	asocairar	VIP1	airo	4	1	asocairo
atairo	atairar	VIP1	airo	3	1	atairo
avalio	avaliar	VIP1	alio	3	1	avalio
bailo	bailar	VIP1	ailo	2	0	bailo
calabrio	calabriar	VIP1	abrio	3	0	calabrio
cambio	cambiar	VIP1	ambio	2	0	cambio
camio	camiar	VIP1	amio	2	0	camio
canmio	canmiar	VIP1	anmio	2	0	canmio
circunstancio	circunstanciar	VIP1	ancio	4	0	circunstancio
congracio	congraciar	VIP1	acio	3	0	congracio
consubstancio	consubstanciar	VIP1	ancio	4	0	consubstancio
contagio	contagiar	VIP1	agio	3	0	contagio
derraigo	derraigar	VIP1	aigo	3	0	derraigo
desagracio	desagraciar	VIP1	acio	4	0	desagracio
desagravio	desagraviar	VIP1	abio	4	0	desagravio
desairo	desairar	VIP1	airo	3	0	desairo
desarraigo	desarraigar	VIP1	aigo	4	0	desarraigo
descambio	descambiar	VIP1	ambio	3	0	descambio
descontagio	descontagiar	VIP1	agio	4	0	descontagio
desenfrailo	desenfrailar	VIP1	ailo	4	0	desenfrailo
desenhastio	desenhastiar	VIP1	astio	4	0	desenhastio
desenvaino	desenvainar	VIP1	aino	4	0	desenvaino
desgracio	desgraciar	VIP1	acio	3	0	desgracio
deslaido	deslaidar	VIP1	aido	3	0	deslaido
desraigo	desraigar	VIP1	aigo	3	0	desraigo
destapio	destapiar	VIP1	apio	3	0	destapio
desubstancio	desubstanciar	VIP1	ancio	4	0	desubstancio
desustancio	desustanciar	VIP1	ancio	4	0	desustancio
desvaino	desvainar	VIP1	aino	3	0	desvaino
digladio	digladiar	VIP1	adio	3	0	digladio
distancio	distanciar	VIP1	ancio	3	0	distancio
embarrio	embarriar	VIP1	arrio	3	1	embarrio
empalio	empaliar	VIP1	alio	3	1	empalio
encabrio	encabriar	VIP1	abrio	3	1	encabrio
encalabrio	encalabriar	VIP1	abrio	4	1	encalabrio
enfastio	enfastiar	VIP1	astio	3	1	enfastio
enfrailo	enfrailar	VIP1	ailo	3	1	enfrailo
engaito	engaitar	VIP1	aito	3	1	engaito
engarfio	engarfiar	VIP1	arfio	3	1	engarfio
engavio	engaviar	VIP1	abio	3	1	engavio
engracio	engraciar	VIP1	acio	3	1	engracio
enjarcio	enjarciar	VIP1	arcio	3	1	enjarcio
enlabio	enlabiar	VIP1	abio	3	1	enlabio
enlacio	enlaciar	VIP1	acio	3	1	enlacio
enrabio	enrabiar	VIP1	abio	3	1	enrabio
enrancio	enranciar	VIP1	ancio	3	1	enrancio
envaino	envainar	VIP1	aino	3	1	envaino
enzaino	enzainar	VIP1	aino	3	1	enzaino
escalio	escaliar	VIP1	alio	3	1	escalio
escancio	escanciar	VIP1	ancio	3	1	escancio
escario	escariar	VIP1	ario	3	1	escario
escarpio	escarpiar	VIP1	arpio	3	1	escarpio
espacio	espaciar	VIP1	acio	3	1	espacio
expatrio	expatriar	VIP1	atrio	3	1	expatrio
financio	financiar	VIP1	ancio	3	0	financio
frailo	frailar	VIP1	ailo	2	0	frailo
gazmio	gazmiar	VIP1	azmio	2	0	gazmio
guaito	guaitar	VIP1	aito	2	0	guaito
intercambio	intercambiar	VIP1	ambio	4	1	intercambio
inventario	inventariar	VIP1	ario	4	1	inventario
irradio	irradiar	VIP1	adio	3	1	irradio
jadio	jadiar	VIP1	adio	2	0	jadio
jarcio	jarciar	VIP1	arcio	2	0	jarcio
magio	magiar	VIP1	agio	2	0	magio
pairo	pairar	VIP1	airo	2	0	pairo
plagio	plagiar	VIP1	agio	2	0	plagio
presagio	presagiar	VIP1	agio	3	0	presagio
rabio	rabiar	VIP1	abio	2	0	rabio
radio	radiar	VIP1	adio	2	0	radio
raigo	raigar	VIP1	aigo	2	0	raigo
rancio	ranciar	VIP1	ancio	2	0	rancio
recambio	recambiar	VIP1	ambio	3	0	recambio
regracio	regraciar	VIP1	acio	3	0	regracio
repatrio	repatriar	VIP1	atrio	3	0	repatrio
represalio	represaliar	VIP1	alio	4	0	represalio
resabio	resabiar	VIP1	abio	3	0	resabio
respahilo	respahilar	VIP1	ahilo	3	0	respahilo
sacio	saciar	VIP1	acio	2	0	sacio
salario	salariar	VIP1	ario	3	0	salario
substancio	substanciar	VIP1	ancio	3	0	substancio
sustancio	sustanciar	VIP1	ancio	3	0	sustancio
taimo	taimar	VIP1	aimo	2	0	taimo
tapio	tapiar	VIP1	apio	2	0	tapio
transubstancio	transubstanciar	VIP1	ancio	4	0	transubstancio
transustancio	transustanciar	VIP1	ancio	4	0	transustancio
